"Country or Area","Year(s)","Variant","Value"
"WHO Regions","2024","Medium","70.6886"
"WHO Regions","2023","Medium","70.5266"
"WHO Regions","2022","Medium","69.9752"
"WHO Regions","2021","Medium","68.3012"
"WHO Regions","2020","Medium","69.2315"
"WHO Regions","2019","Medium","70.0335"
"WHO: African region (AFRO)","2024","Medium","60.8874"
"WHO: African region (AFRO)","2023","Medium","60.727"
"WHO: African region (AFRO)","2022","Medium","59.6978"
"WHO: African region (AFRO)","2021","Medium","58.8319"
"WHO: African region (AFRO)","2020","Medium","59.1528"
"WHO: African region (AFRO)","2019","Medium","59.251"
"WHO: Americas (AMRO)","2024","Medium","74.6959"
"WHO: Americas (AMRO)","2023","Medium","74.5348"
"WHO: Americas (AMRO)","2022","Medium","73.2429"
"WHO: Americas (AMRO)","2021","Medium","70.7968"
"WHO: Americas (AMRO)","2020","Medium","71.9462"
"WHO: Americas (AMRO)","2019","Medium","74.0571"
"WHO: Eastern Mediterranean Region (EMRO)","2024","Medium","68.8064"
"WHO: Eastern Mediterranean Region (EMRO)","2023","Medium","68.5907"
"WHO: Eastern Mediterranean Region (EMRO)","2022","Medium","68.0388"
"WHO: Eastern Mediterranean Region (EMRO)","2021","Medium","66.1084"
"WHO: Eastern Mediterranean Region (EMRO)","2020","Medium","66.303"
"WHO: Eastern Mediterranean Region (EMRO)","2019","Medium","67.6763"
"WHO: European Region (EURO)","2024","Medium","75.3084"
"WHO: European Region (EURO)","2023","Medium","74.9909"
"WHO: European Region (EURO)","2022","Medium","74.2248"
"WHO: European Region (EURO)","2021","Medium","73.2178"
"WHO: European Region (EURO)","2020","Medium","73.6894"
"WHO: European Region (EURO)","2019","Medium","74.8595"
"WHO: South-East Asia region (SEARO)","2024","Medium","70.6206"
"WHO: South-East Asia region (SEARO)","2023","Medium","70.4061"
"WHO: South-East Asia region (SEARO)","2022","Medium","70.0925"
"WHO: South-East Asia region (SEARO)","2021","Medium","66.3973"
"WHO: South-East Asia region (SEARO)","2020","Medium","68.4163"
"WHO: South-East Asia region (SEARO)","2019","Medium","69.2894"
"WHO: Western Pacific region (WPRO)","2024","Medium","75.1061"
"WHO: Western Pacific region (WPRO)","2023","Medium","75.0074"
"WHO: Western Pacific region (WPRO)","2022","Medium","75.0807"
"WHO: Western Pacific region (WPRO)","2021","Medium","75.0047"
"WHO: Western Pacific region (WPRO)","2020","Medium","75.1496"
"WHO: Western Pacific region (WPRO)","2019","Medium","75.1348"
"World","2024","Medium","70.7094"
"World","2023","Medium","70.5472"
"World","2022","Medium","69.9962"
"World","2021","Medium","68.3289"
"World","2020","Medium","69.2567"
"World","2019","Medium","70.0553"

