"Country or Area","Year(s)","Variant","Value"
"WHO Regions","2024","Medium","73.2995"
"WHO Regions","2023","Medium","73.1473"
"WHO Regions","2022","Medium","72.6176"
"WHO Regions","2021","Medium","70.8347"
"WHO Regions","2020","Medium","71.8894"
"WHO Regions","2019","Medium","72.585"
"WHO: African region (AFRO)","2024","Medium","62.8667"
"WHO: African region (AFRO)","2023","Medium","62.682"
"WHO: African region (AFRO)","2022","Medium","61.7526"
"WHO: African region (AFRO)","2021","Medium","60.7211"
"WHO: African region (AFRO)","2020","Medium","61.1071"
"WHO: African region (AFRO)","2019","Medium","61.1033"
"WHO: Americas (AMRO)","2024","Medium","77.4454"
"WHO: Americas (AMRO)","2023","Medium","77.2929"
"WHO: Americas (AMRO)","2022","Medium","76.1448"
"WHO: Americas (AMRO)","2021","Medium","73.8795"
"WHO: Americas (AMRO)","2020","Medium","74.9719"
"WHO: Americas (AMRO)","2019","Medium","76.8577"
"WHO: Eastern Mediterranean Region (EMRO)","2024","Medium","70.901"
"WHO: Eastern Mediterranean Region (EMRO)","2023","Medium","70.6757"
"WHO: Eastern Mediterranean Region (EMRO)","2022","Medium","70.1197"
"WHO: Eastern Mediterranean Region (EMRO)","2021","Medium","68.1755"
"WHO: Eastern Mediterranean Region (EMRO)","2020","Medium","68.5331"
"WHO: Eastern Mediterranean Region (EMRO)","2019","Medium","69.8028"
"WHO: European Region (EURO)","2024","Medium","78.6697"
"WHO: European Region (EURO)","2023","Medium","78.4187"
"WHO: European Region (EURO)","2022","Medium","77.718"
"WHO: European Region (EURO)","2021","Medium","76.4512"
"WHO: European Region (EURO)","2020","Medium","77.0396"
"WHO: European Region (EURO)","2019","Medium","78.1983"
"WHO: South-East Asia region (SEARO)","2024","Medium","72.4118"
"WHO: South-East Asia region (SEARO)","2023","Medium","72.1812"
"WHO: South-East Asia region (SEARO)","2022","Medium","71.8513"
"WHO: South-East Asia region (SEARO)","2021","Medium","68.087"
"WHO: South-East Asia region (SEARO)","2020","Medium","70.3279"
"WHO: South-East Asia region (SEARO)","2019","Medium","71.0301"
"WHO: Western Pacific region (WPRO)","2024","Medium","78.0959"
"WHO: Western Pacific region (WPRO)","2023","Medium","77.999"
"WHO: Western Pacific region (WPRO)","2022","Medium","78.0529"
"WHO: Western Pacific region (WPRO)","2021","Medium","77.8925"
"WHO: Western Pacific region (WPRO)","2020","Medium","78.1672"
"WHO: Western Pacific region (WPRO)","2019","Medium","78.0414"
"World","2024","Medium","73.3217"
"World","2023","Medium","73.1694"
"World","2022","Medium","72.6398"
"World","2021","Medium","70.865"
"World","2020","Medium","71.9166"
"World","2019","Medium","72.6093"

