"Country or Area","Year(s)","Variant","Value"
"WHO Regions","2024","Medium","76.0002"
"WHO Regions","2023","Medium","75.8619"
"WHO Regions","2022","Medium","75.3668"
"WHO Regions","2021","Medium","73.5017"
"WHO Regions","2020","Medium","74.6852"
"WHO Regions","2019","Medium","75.217"
"WHO: African region (AFRO)","2024","Medium","64.8666"
"WHO: African region (AFRO)","2023","Medium","64.6559"
"WHO: African region (AFRO)","2022","Medium","63.8422"
"WHO: African region (AFRO)","2021","Medium","62.639"
"WHO: African region (AFRO)","2020","Medium","63.0998"
"WHO: African region (AFRO)","2019","Medium","62.9672"
"WHO: Americas (AMRO)","2024","Medium","80.2516"
"WHO: Americas (AMRO)","2023","Medium","80.1074"
"WHO: Americas (AMRO)","2022","Medium","79.1482"
"WHO: Americas (AMRO)","2021","Medium","77.1526"
"WHO: Americas (AMRO)","2020","Medium","78.1624"
"WHO: Americas (AMRO)","2019","Medium","79.7274"
"WHO: Eastern Mediterranean Region (EMRO)","2024","Medium","73.1514"
"WHO: Eastern Mediterranean Region (EMRO)","2023","Medium","72.92"
"WHO: Eastern Mediterranean Region (EMRO)","2022","Medium","72.3677"
"WHO: Eastern Mediterranean Region (EMRO)","2021","Medium","70.4492"
"WHO: Eastern Mediterranean Region (EMRO)","2020","Medium","71.0276"
"WHO: Eastern Mediterranean Region (EMRO)","2019","Medium","72.1329"
"WHO: European Region (EURO)","2024","Medium","81.9915"
"WHO: European Region (EURO)","2023","Medium","81.8083"
"WHO: European Region (EURO)","2022","Medium","81.2009"
"WHO: European Region (EURO)","2021","Medium","79.6765"
"WHO: European Region (EURO)","2020","Medium","80.3723"
"WHO: European Region (EURO)","2019","Medium","81.4554"
"WHO: South-East Asia region (SEARO)","2024","Medium","74.2985"
"WHO: South-East Asia region (SEARO)","2023","Medium","74.0535"
"WHO: South-East Asia region (SEARO)","2022","Medium","73.7046"
"WHO: South-East Asia region (SEARO)","2021","Medium","69.9068"
"WHO: South-East Asia region (SEARO)","2020","Medium","72.3842"
"WHO: South-East Asia region (SEARO)","2019","Medium","72.8605"
"WHO: Western Pacific region (WPRO)","2024","Medium","81.2534"
"WHO: Western Pacific region (WPRO)","2023","Medium","81.1904"
"WHO: Western Pacific region (WPRO)","2022","Medium","81.213"
"WHO: Western Pacific region (WPRO)","2021","Medium","80.941"
"WHO: Western Pacific region (WPRO)","2020","Medium","81.3636"
"WHO: Western Pacific region (WPRO)","2019","Medium","81.101"
"World","2024","Medium","76.0239"
"World","2023","Medium","75.8857"
"World","2022","Medium","75.3905"
"World","2021","Medium","73.5347"
"World","2020","Medium","74.7144"
"World","2019","Medium","75.2444"

