"Country or Area","Year(s)","Variant","Value"
"WHO Regions","2024","Medium","8134698.372"
"WHO Regions","2023","Medium","8064367.323"
"WHO Regions","2022","Medium","7993943.942"
"WHO Regions","2021","Medium","7926848.27"
"WHO Regions","2020","Medium","7859312.003"
"WHO Regions","2019","Medium","7783613.061"
"WHO: African region (AFRO)","2024","Medium","1268435.612"
"WHO: African region (AFRO)","2023","Medium","1237685.894"
"WHO: African region (AFRO)","2022","Medium","1207519.971"
"WHO: African region (AFRO)","2021","Medium","1178471.691"
"WHO: African region (AFRO)","2020","Medium","1149656.16"
"WHO: African region (AFRO)","2019","Medium","1121071.331"
"WHO: Americas (AMRO)","2024","Medium","1048573.948"
"WHO: Americas (AMRO)","2023","Medium","1041604.877"
"WHO: Americas (AMRO)","2022","Medium","1034657.056"
"WHO: Americas (AMRO)","2021","Medium","1029013.99"
"WHO: Americas (AMRO)","2020","Medium","1024268.285"
"WHO: Americas (AMRO)","2019","Medium","1017695.19"
"WHO: Eastern Mediterranean Region (EMRO)","2024","Medium","824402.414"
"WHO: Eastern Mediterranean Region (EMRO)","2023","Medium","809901.228"
"WHO: Eastern Mediterranean Region (EMRO)","2022","Medium","794641.255"
"WHO: Eastern Mediterranean Region (EMRO)","2021","Medium","779593.978"
"WHO: Eastern Mediterranean Region (EMRO)","2020","Medium","765845.603"
"WHO: Eastern Mediterranean Region (EMRO)","2019","Medium","752215.743"
"WHO: European Region (EURO)","2024","Medium","940574.715"
"WHO: European Region (EURO)","2023","Medium","939268.755"
"WHO: European Region (EURO)","2022","Medium","938669.578"
"WHO: European Region (EURO)","2021","Medium","938197.876"
"WHO: European Region (EURO)","2020","Medium","936888.74"
"WHO: European Region (EURO)","2019","Medium","934488.365"
"WHO: South-East Asia region (SEARO)","2024","Medium","2116127.591"
"WHO: South-East Asia region (SEARO)","2023","Medium","2098343.985"
"WHO: South-East Asia region (SEARO)","2022","Medium","2080684.317"
"WHO: South-East Asia region (SEARO)","2021","Medium","2064784.887"
"WHO: South-East Asia region (SEARO)","2020","Medium","2048651.461"
"WHO: South-East Asia region (SEARO)","2019","Medium","2030011.479"
"WHO: Western Pacific region (WPRO)","2024","Medium","1936584.093"
"WHO: Western Pacific region (WPRO)","2023","Medium","1937562.583"
"WHO: Western Pacific region (WPRO)","2022","Medium","1937771.766"
"WHO: Western Pacific region (WPRO)","2021","Medium","1936785.848"
"WHO: Western Pacific region (WPRO)","2020","Medium","1934001.752"
"WHO: Western Pacific region (WPRO)","2019","Medium","1928130.953"
"World","2024","Medium","8161972.572"
"World","2023","Medium","8091734.93"
"World","2022","Medium","8021407.192"
"World","2021","Medium","7954448.391"
"World","2020","Medium","7887001.292"
"World","2019","Medium","7811293.698"

