"Country or Area","Year(s)","Variant","Value"
"WHO Regions","2024","Medium","4090106.068"
"WHO Regions","2023","Medium","4055788.447"
"WHO Regions","2022","Medium","4021386.087"
"WHO Regions","2021","Medium","3988451.936"
"WHO Regions","2020","Medium","3955481.902"
"WHO Regions","2019","Medium","3918152.416"
"WHO: African region (AFRO)","2024","Medium","632934.427"
"WHO: African region (AFRO)","2023","Medium","617517.77"
"WHO: African region (AFRO)","2022","Medium","602401.574"
"WHO: African region (AFRO)","2021","Medium","587841.975"
"WHO: African region (AFRO)","2020","Medium","573402.849"
"WHO: African region (AFRO)","2019","Medium","559076.225"
"WHO: Americas (AMRO)","2024","Medium","519781.049"
"WHO: Americas (AMRO)","2023","Medium","516412.21"
"WHO: Americas (AMRO)","2022","Medium","513121.919"
"WHO: Americas (AMRO)","2021","Medium","510545.632"
"WHO: Americas (AMRO)","2020","Medium","508437.068"
"WHO: Americas (AMRO)","2019","Medium","505282.996"
"WHO: Eastern Mediterranean Region (EMRO)","2024","Medium","423073.295"
"WHO: Eastern Mediterranean Region (EMRO)","2023","Medium","415855.126"
"WHO: Eastern Mediterranean Region (EMRO)","2022","Medium","408207.591"
"WHO: Eastern Mediterranean Region (EMRO)","2021","Medium","400593.563"
"WHO: Eastern Mediterranean Region (EMRO)","2020","Medium","393855.689"
"WHO: Eastern Mediterranean Region (EMRO)","2019","Medium","387264.023"
"WHO: European Region (EURO)","2024","Medium","456908.799"
"WHO: European Region (EURO)","2023","Medium","456234.49"
"WHO: European Region (EURO)","2022","Medium","455865.095"
"WHO: European Region (EURO)","2021","Medium","455524.503"
"WHO: European Region (EURO)","2020","Medium","454776.691"
"WHO: European Region (EURO)","2019","Medium","453468.111"
"WHO: South-East Asia region (SEARO)","2024","Medium","1078041.758"
"WHO: South-East Asia region (SEARO)","2023","Medium","1069301.141"
"WHO: South-East Asia region (SEARO)","2022","Medium","1060620.555"
"WHO: South-East Asia region (SEARO)","2021","Medium","1052765.242"
"WHO: South-East Asia region (SEARO)","2020","Medium","1044745.747"
"WHO: South-East Asia region (SEARO)","2019","Medium","1035358.93"
"WHO: Western Pacific region (WPRO)","2024","Medium","979366.741"
"WHO: Western Pacific region (WPRO)","2023","Medium","980467.711"
"WHO: Western Pacific region (WPRO)","2022","Medium","981169.355"
"WHO: Western Pacific region (WPRO)","2021","Medium","981181.022"
"WHO: Western Pacific region (WPRO)","2020","Medium","980263.858"
"WHO: Western Pacific region (WPRO)","2019","Medium","977702.131"
"World","2024","Medium","4103612.213"
"World","2023","Medium","4069351.928"
"World","2022","Medium","4035007.924"
"World","2021","Medium","4002148.176"
"World","2020","Medium","3969229.013"
"World","2019","Medium","3931909.063"

